"experiment_id","agent","round","quality_score","phase","scoring_path","context_window","execution_mode","timestamp"
"debate_async_4b7639","planner","1","0.7083333333333334","async_debate","","","","3-component"
"debate_async_4b7639","engineer","1","0.7916666666666666","async_debate","","","","3-component"
"debate_async_4b7639","skeptic","1","0.75","async_debate","","","","3-component"
"debate_async_4b7639","engineer","2","0.7539225941422594","async_debate","","","","4-component"
"debate_async_4b7639","planner","2","0.7578855140186915","async_debate","","","","4-component"
"debate_async_4b7639","skeptic","3","0.7578441295546559","async_debate","","","","4-component"
"debate_async_caf402","planner","1","0.75","async_debate","","","","3-component"
"debate_async_caf402","engineer","1","0.7083333333333334","async_debate","","","","3-component"
"debate_async_caf402","skeptic","1","0.7916666666666666","async_debate","","","","3-component"
"debate_async_caf402","ethicist","1","0.7916666666666666","async_debate","","","","3-component"
"debate_async_caf402","planner","2","0.674512987012987","async_debate","","","","4-component"
"debate_async_caf402","engineer","2","0.6759259259259259","async_debate","","","","4-component"
"debate_async_caf402","skeptic","2","0.6555735930735931","async_debate","","","","4-component"
"debate_async_caf402","ethicist","2","0.6559684684684685","async_debate","","","","4-component"
"debate_async_caf402","planner","3","0.7302442528735632","async_debate","","","","4-component"
"debate_async_caf402","engineer","3","0.7022865853658536","async_debate","","","","4-component"
"debate_async_caf402","skeptic","3","0.6598451327433629","async_debate","","","","4-component"
"debate_async_caf402","ethicist","3","0.6644736842105263","async_debate","","","","4-component"
"debate_8da11c","planner","1","0.48833333333333334","1","","","","2026-03-03T09:17:20.604283"
"debate_8da11c","engineer","1","0.5566666666666666","1","","","","2026-03-03T09:17:20.607448"
"debate_8da11c","skeptic","1","0.7416666666666667","1","","","","2026-03-03T09:17:20.608079"
"debate_8da11c","ethicist","1","0.5166666666666667","1","","","","2026-03-03T09:17:20.608511"
"debate_8da11c","planner","2","0.8333333333333334","1","","","","2026-03-03T09:17:20.609237"
"debate_8da11c","engineer","2","0.8333333333333334","1","","","","2026-03-03T09:17:20.610079"
"debate_8da11c","skeptic","2","0.8333333333333334","1","","","","2026-03-03T09:17:20.611361"
"debate_8da11c","ethicist","2","0.5166666666666667","1","","","","2026-03-03T09:17:20.612048"
"debate_8da11c","planner","3","0.8333333333333334","1","","","","2026-03-03T09:17:20.614340"
"debate_8da11c","engineer","3","0.8333333333333334","1","","","","2026-03-03T09:17:20.617876"
"debate_8da11c","skeptic","3","0.8333333333333334","1","","","","2026-03-03T09:17:20.623816"
"debate_8da11c","ethicist","3","0.5166666666666667","1","","","","2026-03-03T09:17:20.624575"
"debate_db2b4a","planner","1","0.48833333333333334","structured_debate","","","","2026-03-03T09:53:06.506114"
"debate_db2b4a","engineer","1","0.5566666666666666","structured_debate","","","","2026-03-03T09:53:06.510021"
"debate_db2b4a","skeptic","1","0.7416666666666667","structured_debate","","","","2026-03-03T09:53:06.510588"
"debate_db2b4a","ethicist","1","0.5166666666666667","structured_debate","","","","2026-03-03T09:53:06.511000"
"debate_db2b4a","planner","2","0.8333333333333334","structured_debate","","","","2026-03-03T09:53:06.511783"
"debate_db2b4a","engineer","2","0.8333333333333334","structured_debate","","","","2026-03-03T09:53:06.512650"
"debate_db2b4a","skeptic","2","0.8333333333333334","structured_debate","","","","2026-03-03T09:53:06.513755"
"debate_db2b4a","ethicist","2","0.5166666666666667","structured_debate","","","","2026-03-03T09:53:06.514118"
"debate_db2b4a","planner","3","0.8333333333333334","structured_debate","","","","2026-03-03T09:53:06.515835"
"debate_db2b4a","engineer","3","0.8333333333333334","structured_debate","","","","2026-03-03T09:53:06.518951"
"debate_db2b4a","skeptic","3","0.8333333333333334","structured_debate","","","","2026-03-03T09:53:06.525082"
"debate_db2b4a","ethicist","3","0.5166666666666667","structured_debate","","","","2026-03-03T09:53:06.525907"
"debate_async_bf00a8","planner","1","0.48500000000000004","async_debate","","","","2026-03-03T12:22:40.775191"
"debate_async_bf00a8","engineer","1","0.42333333333333334","async_debate","","","","2026-03-03T12:22:40.784694"
"debate_async_bf00a8","skeptic","1","0.4666666666666666","async_debate","","","","2026-03-03T12:22:40.786508"
"debate_async_bf00a8","ethicist","1","0.5133333333333333","async_debate","","","","2026-03-03T12:22:40.787784"
"debate_async_bf00a8","planner","2","0.8216666666666667","async_debate","","","","2026-03-03T12:22:41.791221"
"debate_async_bf00a8","engineer","2","0.8066666666666666","async_debate","","","","2026-03-03T12:22:41.795678"
"debate_async_bf00a8","skeptic","2","0.8033333333333333","async_debate","","","","2026-03-03T12:22:41.798693"
"debate_async_bf00a8","ethicist","2","0.8116666666666666","async_debate","","","","2026-03-03T12:22:41.800613"
"debate_async_bf00a8","planner","3","0.8333333333333334","async_debate","","","","2026-03-03T12:22:42.806044"
"debate_async_bf00a8","engineer","3","0.8333333333333334","async_debate","","","","2026-03-03T12:22:42.811395"
"debate_async_bf00a8","skeptic","3","0.8333333333333334","async_debate","","","","2026-03-03T12:22:42.814827"
"debate_async_bf00a8","ethicist","3","0.8333333333333334","async_debate","","","","2026-03-03T12:22:42.817726"
"debate_async_223e9c","planner","1","0.07666666666666666","stub_control","","","","3-component"
"debate_async_223e9c","engineer","1","0.07666666666666666","stub_control","","","","3-component"
"debate_async_223e9c","skeptic","1","0.07333333333333333","stub_control","","","","3-component"
"debate_async_223e9c","ethicist","1","0.12166666666666666","stub_control","","","","3-component"
"debate_async_223e9c","planner","2","0.3075","stub_control","","","","4-component"
"debate_async_223e9c","engineer","2","0.3075","stub_control","","","","4-component"
"debate_async_223e9c","skeptic","2","0.305","stub_control","","","","4-component"
"debate_async_223e9c","ethicist","2","0.34125","stub_control","","","","4-component"
"debate_async_223e9c","planner","3","0.3075","stub_control","","","","4-component"
"debate_async_223e9c","engineer","3","0.3075","stub_control","","","","4-component"
"debate_async_223e9c","skeptic","3","0.305","stub_control","","","","4-component"
"debate_async_223e9c","ethicist","3","0.34125","stub_control","","","","4-component"
"debate_async_27080b","planner","1","0.6388888888888888","async_debate","","","","3-component"
"debate_async_27080b","engineer","1","0.7175925925925926","async_debate","","","","3-component"
"debate_async_27080b","skeptic","1","0.7916666666666666","async_debate","","","","3-component"
"debate_async_27080b","ethicist","1","0.7175925925925926","async_debate","","","","3-component"
"debate_async_27080b","planner","2","0.6082427536231884","async_debate","","","","4-component"
"debate_async_27080b","engineer","2","0.5830808080808081","async_debate","","","","4-component"
"debate_async_27080b","skeptic","2","0.5983796296296295","async_debate","","","","4-component"
"debate_async_27080b","ethicist","2","0.6527777777777778","async_debate","","","","4-component"
"debate_async_27080b","planner","3","0.629669540229885","async_debate","","","","4-component"
"debate_async_27080b","engineer","3","0.5947222222222222","async_debate","","","","4-component"
"debate_async_27080b","skeptic","3","0.6229575163398693","async_debate","","","","4-component"
"debate_async_27080b","ethicist","3","0.6527777777777778","async_debate","","","","4-component"
